Product Id,Label,Product Group,Unit Of Measure,Currency,Business Unit,Product Class,Competition,Size,Product Life Cycle,Last Update,Pricing Logic,User Group (Edit),User Group (View Details)
MB-0026,,Mix,EA,EUR,Meatball,A,low,Medium,Introduction,2022-07-21T04:30:30,,,
MB-0028,,Beef,EA,EUR,Sausage,A,low,Small,Growth,2022-07-21T04:30:30,,,
MB-0029,,Beef,EA,EUR,Sausage,A,low,Medium,Growth,2022-07-21T04:30:30,,,
MB-0030,,Beef,EA,EUR,Sausage,B,low,Large,Decline,2022-07-21T04:30:30,,,
MB-0031,,Pork,EA,EUR,Sausage,A,low,Small,Introduction,2022-07-21T04:30:30,,,
MB-0032,,Pork,EA,EUR,Sausage,A,medium,Medium,Decline,2022-07-21T04:30:30,,,
MB-0033,,Pork,EA,EUR,Sausage,B,low,Large,Decline,2022-07-21T04:30:30,,,
MB-0034,,Lamb,EA,EUR,Sausage,A,medium,Small,Maturity,2022-07-21T04:30:30,,,
MB-0035,,Lamb,EA,EUR,Sausage,A,low,Medium,Maturity,2022-07-21T04:30:30,,,
MB-0036,,Lamb,EA,EUR,Sausage,A,high,Large,Maturity,2022-07-21T04:30:30,,,
MB-0037,,Tofu,EA,EUR,Sausage,A,low,Small,Maturity,2022-07-21T04:30:30,,,
MB-0038,,Tofu,EA,EUR,Sausage,A,medium,Medium,Growth,2022-07-21T04:30:30,,,
MB-0039,,Tofu,EA,EUR,Sausage,C,low,Large,Decline,2022-07-21T04:30:30,,,
MB-0040,,Mix,EA,EUR,Meatball,C,medium,Small,Introduction,2022-07-21T04:30:30,,,
MB-0041,,Beef,EA,EUR,Meatball,C,medium,Small,Growth,2022-07-21T04:30:30,,,
MB-0042,,Topping,EA,EUR,Extra,C,high,Small,Maturity,2022-07-21T04:30:30,,,
MB-0043,,Topping,EA,EUR,Extra,C,high,Small,Maturity,2022-07-21T04:30:30,,,
MB-0044,,Topping,EA,EUR,Extra,C,medium,Small,Maturity,2022-07-21T04:30:30,,,
MB-0045,,Topping,EA,EUR,Extra,C,high,Small,Growth,2022-07-21T04:30:30,,,
MB-0046,,Topping,EA,EUR,Extra,C,high,Small,Decline,2022-07-21T04:30:30,,,
MB-0047,,Topping,EA,EUR,Extra,C,medium,Small,Growth,2022-07-21T04:30:30,,,
MB-0048,,Beef,EA,EUR,Meatball,C,low,Small,Introduction,2022-07-21T04:30:30,,,
MB-0049,,Beef,EA,EUR,Meatball,B,low,Small,Growth,2022-07-21T04:30:30,,,
MB-0050,,Beef,EA,EUR,Sausage,C,high,Small,Growth,2022-07-21T04:30:30,,,
MB-0051,,Beef,EA,EUR,Sausage,B,medium,Large,Introduction,2022-07-21T04:30:30,,,
MB-0052,,Meal,EA,EUR,Meal,,medium,,Introduction,2022-07-21T04:30:30,,,
MB-0053,,Beef,EA,EUR,Meatball,A,medium,Small,Growth,2022-07-21T04:30:30,,,
MB-0059,,Beef,EA,EUR,Sausage,C,high,Small,Growth,2022-07-21T04:30:30,,,
MB-0060,,Meal,EA,EUR,Meal,A,,,Growth,2022-07-21T04:30:30,,,
Meal-C090,,Meal,EA,EUR,Meal,A,high,Small,Growth,2022-07-21T04:30:30,,,
Meal-C091,,Meal,EA,EUR,Meal,A,high,Medium,Growth,2022-07-21T04:30:30,,,
Meal-C092,,Meal,EA,EUR,Meal,A,high,Large,Growth,2022-07-21T04:30:30,,,
Meal-C093,,Meal,EA,EUR,Meal,A,high,Large,Growth,2022-07-21T04:30:30,,,
